"","idkey","year","state","state_abv","county_name","democrat_county_vote","republican_county_vote","other_county_vote","county_totalvotes","state_totalvotes","vep_turnout_rate","vap_turnout_rate","statecrime.population","statecrime.rates.property.all","statecrime.rates.property.burglary","statecrime.rates.property.larceny","statecrime.rates.property.motor","statecrime.rates.violent.all","statecrime.rates.violent.assault","statecrime.rates.violent.murder","statecrime.rates.violent.rape","statecrime.rates.violent.robbery","statecrime.totals.property.all","statecrime.totals.property.burglary","statecrime.totals.property.larceny","statecrime.totals.property.motor","statecrime.totals.violent.all","statecrime.totals.violent.assault","statecrime.totals.violent.murder","statecrime.totals.violent.rape","statecrime.totals.violent.robbery","redistrict_count","laborForce","employed","unemployed","unemploymentRate","polling_station"
"30","AL_Franklin",2000,"Alabama","AL","Franklin",4793,6119,191,11103,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,14729,13756,973,6.6,NA
"31","AL_Geneva",2000,"Alabama","AL","Geneva",2769,6588,202,9559,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,12261,11631,630,5.1,NA
"32","AL_Greene",2000,"Alabama","AL","Greene",3504,850,42,4396,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,3534,3291,243,6.9,NA
"33","AL_Hale",2000,"Alabama","AL","Hale",4652,2984,95,7731,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,7023,6596,427,6.1,NA
"34","AL_Henry",2000,"Alabama","AL","Henry",2782,4054,96,6932,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,7684,7302,382,5,NA
"35","AL_Houston",2000,"Alabama","AL","Houston",9412,22150,495,32057,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,45464,43444,2020,4.4,NA
"36","AL_Jackson",2000,"Alabama","AL","Jackson",9066,8475,365,17906,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,28083,26612,1471,5.2,NA
"37","AL_Jefferson",2000,"Alabama","AL","Jefferson",129889,138491,5383,273763,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,331141,317868,13273,4,NA
"38","AL_Lamar",2000,"Alabama","AL","Lamar",2653,4470,126,7249,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,7497,6970,527,7,NA
"39","AL_Lauderdale",2000,"Alabama","AL","Lauderdale",13875,17478,784,32137,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,43733,41531,2202,5,NA
"40","AL_Lawrence",2000,"Alabama","AL","Lawrence",6296,5671,218,12185,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,16682,15843,839,5,NA
"41","AL_Lee",2000,"Alabama","AL","Lee",14574,22433,1257,38264,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,58396,56042,2354,4,NA
"42","AL_Limestone",2000,"Alabama","AL","Limestone",8992,14204,438,23634,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,33039,31770,1269,3.8,NA
"43","AL_Lowndes",2000,"Alabama","AL","Lowndes",4557,1638,48,6243,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,5087,4732,355,7,NA
"44","AL_Macon",2000,"Alabama","AL","Macon",7665,1091,75,8831,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,9139,8606,533,5.8,NA
"45","AL_Madison",2000,"Alabama","AL","Madison",48199,62151,2968,113318,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,149626,144268,5358,3.6,NA
"46","AL_Marengo",2000,"Alabama","AL","Marengo",4841,4690,77,9608,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,9072,8594,478,5.3,NA
"47","AL_Marion",2000,"Alabama","AL","Marion",4600,6910,246,11756,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,14302,13339,963,6.7,NA
"48","AL_Marshall",2000,"Alabama","AL","Marshall",10381,17084,524,27989,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,40809,38836,1973,4.8,NA
"49","AL_Mobile",2000,"Alabama","AL","Mobile",58640,78162,2943,139745,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,186171,176895,9276,5,NA
"50","AL_Monroe",2000,"Alabama","AL","Monroe",3741,5153,57,8951,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,10343,9669,674,6.5,NA
"51","AL_Montgomery",2000,"Alabama","AL","Montgomery",40371,38827,1130,80328,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,106415,101919,4496,4.2,NA
"52","AL_Morgan",2000,"Alabama","AL","Morgan",16060,25774,847,42681,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,56614,54205,2409,4.3,NA
"53","AL_Perry",2000,"Alabama","AL","Perry",4020,1732,35,5787,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,4132,3747,385,9.3,NA
"54","AL_Pickens",2000,"Alabama","AL","Pickens",4143,4306,91,8540,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,8657,8000,657,7.6,NA
"55","AL_Pike",2000,"Alabama","AL","Pike",4357,6058,129,10544,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,14153,13364,789,5.6,NA
"56","AL_Randolph",2000,"Alabama","AL","Randolph",3094,4666,159,7919,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,10026,9534,492,4.9,NA
"57","AL_Russell",2000,"Alabama","AL","Russell",8396,6198,181,14775,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,22142,21109,1033,4.7,NA
"58","AL_Shelby",2000,"Alabama","AL","Shelby",13183,47651,1294,62128,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,82798,80512,2286,2.8,NA
"59","AL_St. Clair",2000,"Alabama","AL","St. Clair",6485,17117,488,24090,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,31555,30359,1196,3.8,NA
"60","AL_Sumter",2000,"Alabama","AL","Sumter",4415,1629,44,6088,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,5420,4922,498,9.2,NA
"61","AL_Talladega",2000,"Alabama","AL","Talladega",11264,13807,380,25451,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,35828,33954,1874,5.2,NA
"62","AL_Tallapoosa",2000,"Alabama","AL","Tallapoosa",6183,9805,265,16253,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,19486,18522,964,4.9,NA
"63","AL_Tuscaloosa",2000,"Alabama","AL","Tuscaloosa",24614,34003,1497,60114,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,82181,78918,3263,4,NA
"64","AL_Walker",2000,"Alabama","AL","Walker",11621,13486,534,25641,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,31714,29851,1863,5.9,NA
"65","AL_Washington",2000,"Alabama","AL","Washington",3386,4117,93,7596,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,7781,7243,538,6.9,NA
"66","AL_Wilcox",2000,"Alabama","AL","Wilcox",3444,1661,21,5126,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,3968,3617,351,8.8,NA
"67","AL_Winston",2000,"Alabama","AL","Winston",2692,6413,213,9318,1672551,NA,NA,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2,180539,40331,127399,12809,21620,14107,329,1482,5702,NA,11768,10841,927,7.9,NA
"68","AK_District 1",2000,"Alaska","AK","District 1",1284,4681,691,6656,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"69","AK_District 10",2000,"Alaska","AK","District 10",2194,5673,1017,8884,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"70","AK_District 11",2000,"Alaska","AK","District 11",2043,3960,977,6980,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"71","AK_District 12",2000,"Alaska","AK","District 12",2051,4626,924,7601,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"72","AK_District 13",2000,"Alaska","AK","District 13",2661,3853,1429,7943,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"73","AK_District 14",2000,"Alaska","AK","District 14",1626,3750,492,5868,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"74","AK_District 15",2000,"Alaska","AK","District 15",2106,2453,1311,5870,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"75","AK_District 16",2000,"Alaska","AK","District 16",1969,1980,736,4685,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"76","AK_District 17",2000,"Alaska","AK","District 17",2230,4564,910,7704,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"77","AK_District 18",2000,"Alaska","AK","District 18",2739,5421,1722,9882,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"78","AK_District 19",2000,"Alaska","AK","District 19",2350,4619,982,7951,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"79","AK_District 2",2000,"Alaska","AK","District 2",2081,4235,1072,7388,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"80","AK_District 20",2000,"Alaska","AK","District 20",2259,3648,1056,6963,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"81","AK_District 21",2000,"Alaska","AK","District 21",2309,3263,1057,6629,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"82","AK_District 22",2000,"Alaska","AK","District 22",2656,4910,959,8525,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"83","AK_District 23",2000,"Alaska","AK","District 23",1282,2961,387,4630,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"84","AK_District 24",2000,"Alaska","AK","District 24",1985,5063,867,7915,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"85","AK_District 25",2000,"Alaska","AK","District 25",1697,5489,1015,8201,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"86","AK_District 26",2000,"Alaska","AK","District 26",1608,5869,1113,8590,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"87","AK_District 27",2000,"Alaska","AK","District 27",2199,6714,1525,10438,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"88","AK_District 28",2000,"Alaska","AK","District 28",2116,7113,1811,11040,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"89","AK_District 29",2000,"Alaska","AK","District 29",2806,4054,1963,8823,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"90","AK_District 3",2000,"Alaska","AK","District 3",3693,3135,1397,8225,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"91","AK_District 30",2000,"Alaska","AK","District 30",1698,3622,763,6083,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"92","AK_District 31",2000,"Alaska","AK","District 31",1831,3326,808,5965,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"93","AK_District 32",2000,"Alaska","AK","District 32",1389,4178,466,6033,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"94","AK_District 33",2000,"Alaska","AK","District 33",1765,5804,1143,8712,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"95","AK_District 34",2000,"Alaska","AK","District 34",1300,5243,611,7154,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"96","AK_District 35",2000,"Alaska","AK","District 35",1208,4278,896,6382,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"97","AK_District 36",2000,"Alaska","AK","District 36",1945,3007,625,5577,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"98","AK_District 37",2000,"Alaska","AK","District 37",1821,2725,482,5028,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
"99","AK_District 38",2000,"Alaska","AK","District 38",2015,2467,494,4976,285530,68.82,65.37,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490,NA,NA,NA,NA,NA,NA
